sample,breed,origin,country,locality,dog_type,Pack,Working_status,day,season,origin_clean
EHI03369,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03394,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03393,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
EHI03348,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_1,winter,House
EHI03384,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_2,winter,House
EHI03381,Sled dog,House,Greenland,Ittoqqortoormiit,sled_dog,unknown,unknown,day_3,winter,House
SRR14842335,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842325,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842324,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842340,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842352,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842424,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842341,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842415,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842346,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842344,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842426,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842385,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842407,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842374,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842337,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842328,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842347,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842396,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842342,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842338,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842334,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842363,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842336,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842348,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842351,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842327,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842350,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR14842345,unknown,unknown,Laos,Laos,companion,unknown,unknown,unknown,unknown,unknown
SRR21169626,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Captivity
SRR21169625,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Captivity
SRR21169624,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Captivity
SRR21169623,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Captivity
SRR21169622,unknown,House,Mongolia,Mongolia,companion,unknown,unknown,unknown,unknown,House
SRR21169621,unknown,House,Mongolia,Mongolia,companion,unknown,unknown,unknown,unknown,House
SRR21169620,unknown,House,Mongolia,Mongolia,companion,unknown,unknown,unknown,unknown,House
SRR21169628,unknown,House,Mongolia,Mongolia,companion,unknown,unknown,unknown,unknown,House
SRR21169630,Wolf,Wild,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Wild
SRR21169629,Wolf,Wild,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Wild
SRR21169627,Wolf,Wild,Mongolia,Mongolia,wolf,unknown,unknown,unknown,unknown,Wild
SRR14842322,Jack Russel Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842356,Jack Russel Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842422,Jack Russel Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842358,Bull Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842357,Dachsund,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842343,Yorkshire Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842320,Belgian Shephard,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842354,Jack Russel mixed,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842420,Border Collie,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842323,Schnauzer,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842418,Labrador,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842379,Africanis,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842412,Africanis,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842353,Stafordshire Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842419,Labrador,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842367,Labrador,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842355,Labrador,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842332,Yorkshire Terrier,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR14842359,Dachsund,unknown,South Africa,South Africa,companion,unknown,unknown,unknown,unknown,unknown
SRR23153058,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153021,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153032,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23152947,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153161,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153121,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23152958,Mixed,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23152980,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153001,Mixed,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153159,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153160,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153067,Mixed,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153012,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23152936,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913920,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914112,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915144,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915624,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915792,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914160,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915456,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914448,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913680,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914136,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915264,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1916080,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915888,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913896,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153148,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915864,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913344,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915720,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914256,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915648,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913488,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913440,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914376,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915672,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913584,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913992,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1916008,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1915840,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1916320,Labrador,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1913872,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914904,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
ERR1914232,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23152969,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153078,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SRR23153089,Beagle,Laboratory,USA,USA,companion,unknown,unknown,unknown,unknown,Laboratory
SA000214,Wolf,Captivity,China,China,wolf,unknown,unknown,unknown,unknown,Captivity
SA000213,Wolf,Captivity,China,China,wolf,unknown,unknown,unknown,unknown,Captivity
SA000208,Wolf,Captivity,China,China,wolf,unknown,unknown,unknown,unknown,Captivity
SA000216,Wolf,Captivity,China,China,wolf,unknown,unknown,unknown,unknown,Captivity
SA000210,Wolf,Captivity,China,China,wolf,unknown,unknown,unknown,unknown,Captivity
SA000215,unknown,Animal breeder,China,China,companion,unknown,unknown,unknown,unknown,Animal breeder
SA000211,unknown,Animal breeder,China,China,companion,unknown,unknown,unknown,unknown,Animal breeder
SA000217,unknown,Animal breeder,China,China,companion,unknown,unknown,unknown,unknown,Animal breeder
SA000209,unknown,Animal breeder,China,China,companion,unknown,unknown,unknown,unknown,Animal breeder
SA000212,unknown,Animal breeder,China,China,companion,unknown,unknown,unknown,unknown,Animal breeder
