sample,breed,origin,country,locality,dog_type,Pack,Working_status,day,season
SRR14842385,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842407,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842374,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842337,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842328,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842347,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842396,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842342,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842338,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842334,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842363,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842336,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842348,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842351,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842327,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842350,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR14842345,unknown,Unknown,Laos,Laos,companion,unknown,unknown,Unknown,Unknown
SRR21169626,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR21169625,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR21169624,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR21169623,Wolf,Captivity,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR21169622,Unknown,House,Mongolia,Mongolia,companion,unknown,unknown,Unknown,Unknown
SRR21169621,Unknown,House,Mongolia,Mongolia,companion,unknown,unknown,Unknown,Unknown
SRR21169620,Unknown,House,Mongolia,Mongolia,companion,unknown,unknown,Unknown,Unknown
SRR21169628,Unknown,House,Mongolia,Mongolia,companion,unknown,unknown,Unknown,Unknown
SRR21169630,Wolf,Wild,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR21169629,Wolf,Wild,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR21169627,Wolf,Wild,Mongolia,Mongolia,wolf,unknown,unknown,Unknown,Unknown
SRR14842322,Jack Russel Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842356,Jack Russel Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842422,Jack Russel Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842358,Bull Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842357,Dachsund,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842343,Yorkshire Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842320,Belgian Shephard,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842354,Jack Russel mixed,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842420,Border Collie,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842323,Schnauzer,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842418,Labrador,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842379,Africanis,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842412,Africanis,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842353,Stafordshire Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842419,Labrador,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842367,Labrador,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842355,Labrador,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842332,Yorkshire Terrier,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR14842359,Dachsund,Unknown,South Africa,South Africa,companion,unknown,unknown,Unknown,Unknown
SRR23153058,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153021,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153032,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23152947,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153161,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153121,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23152958,Mixed,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23152980,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153001,Mixed,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153159,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153160,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153067,Mixed,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153012,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23152936,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913920,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914112,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915144,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915624,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915792,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914160,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915456,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914448,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913680,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914136,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915264,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1916080,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915888,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913896,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153148,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915864,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913344,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915720,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914256,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915648,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913488,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913440,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914376,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915672,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913584,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913992,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1916008,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1915840,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1916320,Labrador,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1913872,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914904,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
ERR1914232,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23152969,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153078,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
SRR23153089,Beagle,Laboratory,USA,USA,companion,unknown,unknown,Unknown,Unknown
